,chnm,Classification,Cmax,AC50,NAS,test_target,test_target_name,assay_component_endpoint_name
0,cladribine,AmbiDILIDrugs,0.0227,0.086120647,-2.793861101,ESR1,estrogen receptor ,ACEA_T47D_80hr_Negative_Row198
1,colchicine,AmbiDILIDrugs,0.0163,0.0018424560000000001,0.88696589,ESR1,estrogen receptor ,ACEA_T47D_80hr_Negative_Row198
2,disulfiram,MostDILI Drugs,5.4,21.76070502,-3.0297601889999997,ESR1,estrogen receptor ,ACEA_T47D_80hr_Negative_Row198
3,estrone,AmbiDILIDrugs,0.0218,0.008975287,0.588289587,ESR1,estrogen receptor,ACEA_T47D_80hr_Positive_Row621
4,norethindrone,AmbiDILIDrugs,0.0328,0.0060046809999999996,0.816930457,ESR1,estrogen receptor,ACEA_T47D_80hr_Positive_Row621
5,progesterone,LessDILIDrugs,0.1927,0.19552878899999998,-0.014679756,ESR1,estrogen receptor,ACEA_T47D_80hr_Positive_Row621
6,spironolactone,LessDILIDrugs,0.12,0.459992908,-2.833274233,ESR1,estrogen receptor,ACEA_T47D_80hr_Positive_Row621
7,isoniazid,MostDILI Drugs,76.5635,34.14753496,0.553997205,ESR1,estrogen receptor,ACEA_T47D_80hr_Positive_Row621
8,ketoconazole,MostDILI Drugs,7.0,7.859999999999999e-05,0.9999887709999999,ESR1,estrogen receptor,ACEA_T47D_80hr_Positive_Row621
9,nitrofurantoin,MostDILI Drugs,6.0,21.7890927,-2.63151545,ESR1,estrogen receptor,ACEA_T47D_80hr_Positive_Row621
10,tamoxifen,MostDILI Drugs,0.1712,0.035703267000000004,0.79145288,ESR1,estrogen receptor,ACEA_T47D_80hr_Positive_Row621
11,valproic acid,MostDILI Drugs,540.0,42.85370037,0.9206412959999999,ESR1,estrogen receptor,ACEA_T47D_80hr_Positive_Row621
12,carbamazepine,MostDILI Drugs,25.8176,53.10296618,-1.05685138,ESR1,estrogen receptor ,ACEA_T47D_80hr_Positive_Row621
13,colchicine,AmbiDILIDrugs,0.0163,0.004888066,0.70011865,cellcycle,cell cycle,APR_HepG2_CellCycleArrest_24h_dn_Row186
14,disulfiram,MostDILI Drugs,5.4,8.017763303999999,-0.484770982,cellcycle,cell cycle,APR_HepG2_CellCycleArrest_24h_dn_Row186
15,disulfiram,MostDILI Drugs,5.4,3.62816687,0.32811724600000003,cellcycle,cell cycle,APR_HepG2_CellCycleArrest_72h_dn_Row623
16,cladribine,AmbiDILIDrugs,0.0227,0.042648310999999994,-0.87878022,cellcycle,cell cycle,APR_HepG2_CellCycleArrest_72h_dn_Row623
17,colchicine,AmbiDILIDrugs,0.0163,0.025886067999999998,-0.588102331,cellcycle,cell cycle,APR_HepG2_CellCycleArrest_72h_dn_Row623
18,colchicine,AmbiDILIDrugs,0.0163,0.004,0.754601227,cytotoxicity,cytotoxicity,APR_HepG2_CellLoss_24h_dn_Row203
19,ketoconazole,MostDILI Drugs,7.0,23.11531181,-2.302187401,cytotoxicity,cytotoxicity,APR_HepG2_CellLoss_24h_dn_Row203
20,nitrofurantoin,MostDILI Drugs,6.0,28.48954417,-3.748257362,cytotoxicity,cytotoxicity,APR_HepG2_CellLoss_24h_dn_Row203
21,cladribine,AmbiDILIDrugs,0.0227,0.05240024,-1.308380617,cytotoxicity,cytotoxicity,APR_HepG2_CellLoss_24h_dn_Row203
22,clofibrate,LessDILIDrugs,407.911,115.8535189,0.715983342,cytotoxicity,cytotoxicity,APR_HepG2_CellLoss_24h_dn_Row203
23,ketoconazole,MostDILI Drugs,7.0,18.68519529,-1.6693136130000001,cytotoxicity,cytotoxicity,APR_HepG2_CellLoss_72h_dn_Row200
24,nilutamide,MostDILI Drugs,7.2504,34.62100551,-3.7750476539999998,cytotoxicity,cytotoxicity,APR_HepG2_CellLoss_72h_dn_Row200
25,disulfiram,MostDILI Drugs,5.4,19.45898603,-2.603515931,cytotoxicity,cytotoxicity,APR_HepG2_CellLoss_72h_dn_Row200
26,colchicine,AmbiDILIDrugs,0.0163,0.004,0.754601227,cellmorphology,cell morphology,APR_HepG2_MicrotubuleCSK_72h_dn_Row628
27,disulfiram,MostDILI Drugs,5.4,21.86230586,-3.048575159,cellcycle,cell cylle,APR_HepG2_MitoMass_24h_dn_Row630
28,cladribine,AmbiDILIDrugs,0.0227,0.012894445,0.431962775,cellcycle,cell cycle,APR_HepG2_MitoMass_24h_up_Row631
29,disulfiram,MostDILI Drugs,5.4,12.26881529,-1.272002831,cellcycle,cell cycle,APR_HepG2_MitoMass_72h_up_Row632
30,clofibrate,LessDILIDrugs,407.911,120.2141361,0.705293223,mmp,mitochondrial membrane potential,APR_HepG2_MitoMembPot_24h_dn_Row201
31,nilutamide,MostDILI Drugs,7.2504,1.679972969,0.7682923740000001,mmp,mitochondrial membrane potential,APR_HepG2_MitoMembPot_24h_dn_Row201
32,colchicine,AmbiDILIDrugs,0.0163,0.005930016999999999,0.636195276,cellcycle,cell cycle,APR_HepG2_MitoticArrest_24h_up_Row636
33,disulfiram,MostDILI Drugs,5.4,20.74664865,-2.841971972,cellcycle,cell cycle,APR_HepG2_MitoticArrest_24h_up_Row636
34,colchicine,AmbiDILIDrugs,0.0163,0.004007363,0.7541495090000001,cellcycle,cell cycle,APR_HepG2_MitoticArrest_72h_up_Row176
35,disulfiram,MostDILI Drugs,5.4,19.19650098,-2.554907589,cellcycle,cell cycle,APR_HepG2_MitoticArrest_72h_up_Row176
36,cladribine,AmbiDILIDrugs,0.0227,0.098359871,-3.333033965,nucsize,nuclear size,APR_HepG2_NuclearSize_24h_up_Row639
37,colchicine,AmbiDILIDrugs,0.0163,0.004245452,0.739542822,cellmorphology,cell morphology,APR_HepG2_NuclearSize_72h_up_Row641
38,disulfiram,MostDILI Drugs,5.4,10.33631817,-0.914132994,oxstress,oxidative stress,APR_HepG2_OxidativeStress_24h_up_Row205
39,colchicine,AmbiDILIDrugs,0.0163,0.004,0.754601227,oxstress,oxidative stress,APR_HepG2_OxidativeStress_24h_up_Row205
40,cladribine,AmbiDILIDrugs,0.0227,0.037630612,-0.657736211,oxstress,oxidative stress,APR_HepG2_OxidativeStress_72h_up_Row202
41,disulfiram,MostDILI Drugs,5.4,24.02723605,-3.4494881569999998,oxstress,oxidative stress,APR_HepG2_OxidativeStress_72h_up_Row202
42,ketoconazole,MostDILI Drugs,7.0,27.42032781,-2.917189687,oxstress,oxidative stress,APR_HepG2_OxidativeStress_72h_up_Row202
