,aeid,Rosig_AC50,Trog_AC50,test_status,biological_process_target,intended_target_family,intended_target_family_sub,test_target,intended_target_gene_symbol,technological_target_gene_symbol,intended_target_entrez_gene_id,technological_target_entrez_gene_id,intended_target_gene_name,technological_target_gene_name,assay_component_endpoint_name,assay_name
0,1,,83.2430592993927,N-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,ACEA_T47D_80hr_Negative,ACEA_T47D
1,2,,1000000.0,N-nT,cell proliferation,nuclear receptor,steroidal,ESR1,ESR1,,2099,,estrogen receptor 1,,ACEA_T47D_80hr_Positive,ACEA_T47D
2,23,,76.0519141972514,N-T,cell cycle,cell cycle,proliferation,cell cycle,,,,,,,APR_HepG2_CellCycleArrest_24h_dn,APR_HepG2_24hr
3,24,,1000000.0,N-nT,cell cycle,cell cycle,arrest,cell cycle,,,,,,,APR_HepG2_CellCycleArrest_24h_up,APR_HepG2_24hr
4,25,,101.695791313885,N-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,APR_HepG2_CellLoss_24h_dn,APR_HepG2_24hr
5,26,,1000000.0,N-nT,cell death,cell cycle,proliferation,cell death,,,,,,,APR_HepG2_CellLoss_24h_up,APR_HepG2_24hr
6,27,,117.850629442189,N-T,protein stabilization,cell morphology,cell conformation,TUBA1A,,TUBA1A,,7846,,"tubulin, alpha 1a",APR_HepG2_MicrotubuleCSK_24h_dn,APR_HepG2_24hr
7,28,,1000000.0,N-nT,protein stabilization,cell morphology,cell conformation,TUBA1A,,TUBA1A,,7846,,"tubulin, alpha 1a",APR_HepG2_MicrotubuleCSK_24h_up,APR_HepG2_24hr
8,29,,1000000.0,N-nT,cell cycle,cell morphology,organelle conformation,cell cycle,,,,,,,APR_HepG2_MitoMass_24h_dn,APR_HepG2_24hr
9,30,,1000000.0,N-nT,cell cycle,cell morphology,organelle conformation,cell cycle,,,,,,,APR_HepG2_MitoMass_24h_up,APR_HepG2_24hr
10,31,,91.3993057346858,N-T,mitochondrial depolarization,cell morphology,organelle conformation,mitochondrial depolarization,,,,,,,APR_HepG2_MitoMembPot_24h_dn,APR_HepG2_24hr
11,32,,1000000.0,N-nT,mitochondrial depolarization,cell morphology,organelle conformation,mitochondrial depolarization,,,,,,,APR_HepG2_MitoMembPot_24h_up,APR_HepG2_24hr
12,33,,1000000.0,N-nT,cell cycle,cell cycle,proliferation,H3F3A,,H3F3A,,3020,,"H3 histone, family 3A",APR_HepG2_MitoticArrest_24h_dn,APR_HepG2_24hr
13,34,,1000000.0,N-nT,cell cycle,cell cycle,arrest,H3F3A,,H3F3A,,3020,,"H3 histone, family 3A",APR_HepG2_MitoticArrest_24h_up,APR_HepG2_24hr
14,35,,1000000.0,N-nT,cell cycle,cell morphology,organelle conformation,cell cycle,,,,,,,APR_HepG2_NuclearSize_24h_dn,APR_HepG2_24hr
15,36,,1000000.0,N-nT,cell cycle,cell morphology,organelle conformation,cell cycle,,,,,,,APR_HepG2_NuclearSize_24h_up,APR_HepG2_24hr
16,37,,1000000.0,N-nT,oxidative phosphorylation,cell cycle,stress response,H2AFX,,H2AFX,,3014,,"H2A histone family, member X",APR_HepG2_OxidativeStress_24h_dn,APR_HepG2_24hr
17,38,,108.014611690844,N-T,oxidative phosphorylation,cell cycle,stress response,H2AFX,,H2AFX,,3014,,"H2A histone family, member X",APR_HepG2_OxidativeStress_24h_up,APR_HepG2_24hr
18,39,,1000000.0,N-nT,cell death,dna binding,tumor suppressor,TP53,TP53,TP53,7157,7157,tumor protein p53,tumor protein p53,APR_HepG2_p53Act_24h_dn,APR_HepG2_24hr
19,40,,1000000.0,N-nT,cell death,dna binding,tumor suppressor,TP53,TP53,TP53,7157,7157,tumor protein p53,tumor protein p53,APR_HepG2_p53Act_24h_up,APR_HepG2_24hr
20,41,,1000000.0,N-nT,oxidative phosphorylation,cell cycle,stress response,JUN,,JUN,,3725,,jun proto-oncogene,APR_HepG2_StressKinase_24h_dn,APR_HepG2_24hr
21,42,,1000000.0,N-nT,oxidative phosphorylation,cell cycle,stress response,JUN,,JUN,,3725,,jun proto-oncogene,APR_HepG2_StressKinase_24h_up,APR_HepG2_24hr
22,43,,1000000.0,N-nT,cell cycle,cell cycle,proliferation,cell cycle,,,,,,,APR_HepG2_CellCycleArrest_72h_dn,APR_HepG2_72hr
