,aeid,Rosig_AC50,Trog_AC50,Trog_NAS,Trog_Activation_Level,test_status,biological_process_target,intended_target_family,intended_target_family_sub,test_target,intended_target_gene_symbol,technological_target_gene_symbol,intended_target_entrez_gene_id,technological_target_entrez_gene_id,intended_target_gene_name,technological_target_gene_name,assay_component_endpoint_name,assay_name
44,64,1000000.0,8.05432782821354,-0.26110946626795356,Modest,nR-T,regulation of transcription factor activity,dna binding,basic leucine zipper,JUN|FOS,JUN|FOS,JUN|FOS,3725|2353,3725|2353,jun proto-oncogene|FBJ murine osteosarcoma viral oncogene homolog,jun proto-oncogene|FBJ murine osteosarcoma viral oncogene homolog,ATG_AP_1_CIS_up,ATG_CIS
52,68,1000000.0,8.67172371119819,-0.3577784632436454,Modest,nR-T,regulation of transcription factor activity,background measurement,internal marker,regulation of transcription factor activity,,,,,,,ATG_CMV_CIS_up,ATG_CIS
57,1412,1000000.0,5.9111787422794,0.07445492315602738,High,nR-T,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1H3|NR1H2,,NR1H3|NR1H2,,10062|7376,,"nuclear receptor subfamily 1, group H, member 3|nuclear receptor subfamily 1, group H, member 2",ATG_DR4_LXR_CIS_dn,ATG_CIS
60,72,1000000.0,6.55368919666757,-0.026146397461532463,Modest,nR-T,regulation of transcription factor activity,dna binding,basic helix-loop-helix protein,USF1,USF1,USF1,7391,7391,upstream transcription factor 1,upstream transcription factor 1,ATG_E_Box_CIS_up,ATG_CIS
63,1414,1000000.0,6.56511696329019,-0.02793570439979791,Modest,nR-T,regulation of transcription factor activity,dna binding,E2F transcription factor,E2F1,,E2F1,,1869,,E2F transcription factor 1,ATG_E2F_CIS_dn,ATG_CIS
98,91,1000000.0,16.3480069494158,-1.5596954529593998,Modest,nR-T,regulation of transcription factor activity,dna binding,zinc finger,MTF1,MTF1,MTF1,4520,4520,metal-regulatory transcription factor 1,metal-regulatory transcription factor 1,ATG_MRE_CIS_up,ATG_CIS
139,1496,1000000.0,16.3633159218276,-1.5620924611814548,Modest,nR-T,regulation of transcription factor activity,dna binding,HMG box protein,LEF1|TCF7|TCF7L1|TCF7L2,,LEF1|TCF7|TCF7L1|TCF7L2,,51176|6932|83439|6934,,"lymphoid enhancer-binding factor 1|transcription factor 7 (T-cell specific, HMG-box)|transcription factor 7-like 1 (T-cell specific, HMG-box)|transcription factor 7-like 2 (T-cell specific, HMG-box)",ATG_TCF_b_cat_CIS_dn,ATG_CIS
150,117,1000000.0,5.41625361620265,0.15194801443583544,High,nR-T,regulation of transcription factor activity,nuclear receptor,steroidal,ESR1,ESR1,ESR1,2099,2099,estrogen receptor 1,estrogen receptor 1,ATG_ERa_TRANS_up,ATG_TRANS
208,149,1000000.0,33.4989808816956,-4.245115768972333,Low,nR-T,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,ICAM1,ICAM1,ICAM1,3383,3383,intercellular adhesion molecule 1,intercellular adhesion molecule 1,BSK_3C_ICAM1_down,BSK_3C
210,151,1000000.0,13.2252719246261,-1.0707520197638998,Modest,nR-T,regulation of gene expression,cytokine,interleukins,CXCL8,CXCL8,CXCL8,3576,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,BSK_3C_IL8_down,BSK_3C
214,155,1000000.0,18.4415248390951,-1.8874888188101988,Modest,nR-T,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_3C_MIG_down,BSK_3C
218,159,1000000.0,16.0483921568066,-1.5127831519887576,Modest,nR-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_3C_SRB_down,BSK_3C
222,163,1000000.0,35.3343507807152,-4.532489514258568,Low,nR-T,regulation of gene expression,cytokine,coagulation factor,F3,F3,F3,2152,2152,"coagulation factor III (thromboplastin, tissue factor)","coagulation factor III (thromboplastin, tissue factor)",BSK_3C_TissueFactor_down,BSK_3C
226,167,1000000.0,28.1203719777199,-3.4029580186512436,Modest,nR-T,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,VCAM1,VCAM1,VCAM1,7412,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,BSK_3C_VCAM1_down,BSK_3C
228,169,1000000.0,11.9049348759399,-0.8640197403886042,Modest,nR-T,cell morphology,cell morphology,cell conformation,cell morphology,,,,,,,BSK_3C_Vis_down,BSK_3C
250,191,1000000.0,15.1156665420594,-1.3667412814222368,Modest,nR-T,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_BE3C_MIG_down,BSK_BE3C
252,193,1000000.0,33.2609787481841,-4.207850493711009,Low,nR-T,regulation of gene expression,protease,matrix metalloproteinase,MMP1,MMP1,MMP1,4312,4312,matrix metallopeptidase 1 (interstitial collagenase),matrix metallopeptidase 1 (interstitial collagenase),BSK_BE3C_MMP1_down,BSK_BE3C
256,197,1000000.0,22.2318856699011,-2.4809660184290947,Modest,nR-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_BE3C_SRB_down,BSK_BE3C
258,199,1000000.0,12.0470079727886,-0.8862648899726933,Modest,nR-T,regulation of gene expression,growth factor,transforming growth factor beta,TGFB1,TGFB1,TGFB1,7040,7040,"transforming growth factor, beta 1","transforming growth factor, beta 1",BSK_BE3C_TGFb1_down,BSK_BE3C
260,201,1000000.0,8.72952934953297,-0.3668294032180892,Modest,nR-T,regulation of gene expression,protease,serine protease,PLAT,PLAT,PLAT,5327,5327,"plasminogen activator, tissue","plasminogen activator, tissue",BSK_BE3C_tPA_down,BSK_BE3C
262,203,1000000.0,11.8725312383604,-0.8589461284169289,Modest,nR-T,regulation of gene expression,protease,serine protease,PLAU,PLAU,PLAU,5328,5328,"plasminogen activator, urokinase","plasminogen activator, urokinase",BSK_BE3C_uPA_down,BSK_BE3C
280,221,1000000.0,5.40807506287699,0.15322857455697156,High,nR-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,BSK_CASM3C_Proliferation_down,BSK_CASM3C
287,228,1000000.0,4.57997435589914,0.2828887600953325,High,nR-T,regulation of gene expression,gpcr,rhodopsin-like receptor,THBD,THBD,THBD,7056,7056,thrombomodulin,thrombomodulin,BSK_CASM3C_Thrombomodulin_up,BSK_CASM3C
294,235,1000000.0,11.4438681966342,-0.7918280483871483,Modest,nR-T,regulation of gene expression,cell adhesion molecules,collagen,COL3A1,COL3A1,COL3A1,1281,1281,"collagen, type III, alpha 1","collagen, type III, alpha 1",BSK_hDFCGF_CollagenIII_down,BSK_hDFCGF
296,237,1000000.0,6.20027060263962,0.029190254334849067,High,nR-T,regulation of gene expression,kinase,receptor tyrosine kinase,EGFR,EGFR,EGFR,1956,1956,epidermal growth factor receptor,epidermal growth factor receptor,BSK_hDFCGF_EGFR_down,BSK_hDFCGF
298,239,1000000.0,22.2770251097773,-2.4880337435259676,Modest,nR-T,regulation of gene expression,cytokine,interleukins,CXCL8,CXCL8,CXCL8,3576,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,BSK_hDFCGF_IL8_down,BSK_hDFCGF
304,245,1000000.0,11.8770785842479,-0.8596581308418902,Modest,nR-T,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_hDFCGF_MIG_down,BSK_hDFCGF
306,247,1000000.0,20.4220359950884,-2.19758811202787,Modest,nR-T,regulation of gene expression,protease,matrix metalloproteinase,MMP1,MMP1,MMP1,4312,4312,matrix metallopeptidase 1 (interstitial collagenase),matrix metallopeptidase 1 (interstitial collagenase),BSK_hDFCGF_MMP1_down,BSK_hDFCGF
308,249,1000000.0,6.76476411928534,-0.05919553435817245,Modest,nR-T,regulation of gene expression,cytokine,plasmogen activator inhibitor,SERPINE1,SERPINE1,SERPINE1,5054,5054,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1","serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1",BSK_hDFCGF_PAI1_down,BSK_hDFCGF
312,253,1000000.0,14.4644116397117,-1.2647707955143817,Modest,nR-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_hDFCGF_SRB_down,BSK_hDFCGF
314,255,1000000.0,10.7195614800774,-0.6784194466747147,Modest,nR-T,regulation of gene expression,protease inhibitor,metalloproteinase inhibitor,TIMP1,TIMP1,TIMP1,7076,7076,TIMP metallopeptidase inhibitor 1,TIMP metallopeptidase inhibitor 1,BSK_hDFCGF_TIMP1_down,BSK_hDFCGF
318,259,1000000.0,10.8078404692003,-0.6922417632267525,Modest,nR-T,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,ICAM1,ICAM1,ICAM1,3383,3383,intercellular adhesion molecule 1,intercellular adhesion molecule 1,BSK_KF3CT_ICAM1_down,BSK_KF3CT
322,263,1000000.0,8.3755129353182,-0.31139914749686065,Modest,nR-T,regulation of gene expression,cytokine,chemotactic factor,CXCL10,CXCL10,CXCL10,3627,3627,chemokine (C-X-C motif) ligand 10,chemokine (C-X-C motif) ligand 10,BSK_KF3CT_IP10_down,BSK_KF3CT
324,265,1000000.0,10.7606634549199,-0.6848550041367059,Modest,nR-T,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_KF3CT_MCP1_down,BSK_KF3CT
328,269,1000000.0,10.6873792009146,-0.6733804939819625,Modest,nR-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_KF3CT_SRB_down,BSK_KF3CT
